utilisateur,commentaire,date,service,type_commande,pouce_leve
upi72,"un vrai pro , travail bien fait en un temps record !",29 juin 2022 à 14:08,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE BASIQUE,Oui
Momolita,Merci Martin.,21 juin 2022 à 21:38,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
kev1,Très bien,20 juin 2022 à 00:03,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
Mikailkrt,merci je reccommande,31 mai 2022 à 13:17,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
MichelMyara,vous êtes vraiment super professionnel. Je suis plus que content.,22 févr. 2022 à 22:58,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
MichelMyara,"toujours au top, très sérieux.",1 févr. 2022 à 09:55,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
MichelMyara,"impeccable, bonne prestation.",21 janv. 2022 à 11:17,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
ThierryP,"Travail toujours aussi qualitatif sur un autre site web :-). Très professionnel, allez-y !",15 janv. 2022 à 18:37,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
ThierryP,Installation rapide et efficace d'un chatbot. Martin a résolu avec célérité des dysfonctionnements non résolus par un précédent prestataire. Il connaît son métier :-),15 janv. 2022 à 16:48,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
RemiGallois2,"Parfait! Quel travail, une personne impliquée, a l’écoute et hyper professionnelle",30 nov. 2021 à 21:46,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
patricia74,Pas de commentaires,12 nov. 2021 à 18:39,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
Mikailkrt,merci à martin très efficace,10 nov. 2021 à 20:33,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE BASIQUE,Oui
upi72,"Professionnel , disponible et ponctuel ! je recommande sans hésitation ! merci martin pour le site !",7 nov. 2021 à 18:35,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
Osez,Parfait comme toujours. Merci,6 sept. 2021 à 18:49,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE BASIQUE,Oui
DavidVillaeys,Comme toujours un travail de qualité !! offre de vrai compétence et parfois même plus que ce qui est convenu. Vraiment à l'écoute et patient je recommande sans hésitation,23 juil. 2021 à 21:58,https://comeup.com/fr/service/221336/creer-votre-site-wordpress-optimise-seo-avec-un-design-premium,COMMANDE PERSONNALISÉE,Oui
